"Time"	"6 SampleCl"	"5 I1 cont"	"3 Monitor"
54.66873	1	0.145	-0.259
54.66874	0	7.111	0.899
54.66875	0	14.107	92.598
54.66876	0	13.718	202.954
54.66877	0	13.382	240.736
54.66878	0	6.752	233.998
54.66879	1	-0.038	126.239
54.66880	0	-0.015	28.276
54.66881	0	0.084	2.148
54.66882	0	0.107	1.381
54.66883	0	0.160	1.003
54.66884	0	0.252	0.262
54.66885	1	0.298	0.114
54.66886	0	0.198	-0.108
54.66887	0	7.164	23.573
54.66888	0	14.023	142.993
54.66889	0	13.657	226.974
54.66890	0	12.558	242.915
54.66891	1	5.646	198.283
54.66892	0	-0.206	78.900
54.66893	0	-0.008	11.218
54.66894	0	0.061	1.234
54.66895	0	0.084	1.474
54.66896	0	0.099	0.525
54.66897	0	0.099	0.058
54.66898	1	0.084	0.052
