"Im"	"0 Desc."	"Im"	"1 Asc."
4.549574	0.575559	4.269957	14.971180
4.522519	46.652671	4.313474	17.230981
		4.374732	21.443122
		4.420256	23.282887
		4.473313	29.450744
		4.477924	29.167274
		4.524654	29.146022
		4.591405	28.661508
		4.621495	29.797378
		4.617148	30.307622
		4.661412	36.703982
		4.705739	33.506450
		4.723594	37.016472
		4.742891	37.043897
		4.761015	38.759690
		4.795903	40.330712
		4.829505	42.238648
		4.882521	39.377830
		4.880865	40.551500
		4.916296	44.286980
		4.925121	44.483986
		4.942137	47.835446
		4.974857	46.232085
		4.992836	44.994376
		5.029103	47.938639
		5.027861	46.750818
		5.062941	48.614487
		5.060940	50.314465
		5.085920	48.543689
		5.110242	49.751244
		5.124428	46.882325
		5.150053	52.952078
		5.166035	49.067713
		5.211118	52.424640
		5.259333	50.403226
		5.240260	50.200803
		5.240859	49.504950
		5.278635	54.288817
		5.305659	54.570259
		5.333528	50.838841
		5.342922	52.868094
		5.363823	52.756529
		5.385020	52.164841
		5.429198	52.728711
		5.440995	52.493438
		5.435594	54.884742
		5.473400	52.631579
		5.493115	52.854123
		5.498163	54.570259
		5.511341	54.229935
		5.540448	55.263885
		5.547523	54.869684
		5.601220	55.478502
		5.602827	54.010262
		5.620032	56.609114
		5.640180	56.947608
		5.654091	56.545095
		5.690233	55.865922
		5.711394	56.290459
		5.751362	57.903880
		5.760574	53.966541
		5.779676	55.959709
