"Time"	"20 ViewTrig"	"1 10Vm"	"3 Monitor"	"4 Im"	"5 I1 cont"	"6 SampleCl"	"8 DCCend"	"7 StepAct"	"701 DCCfreq"
19.18147	0	-53.032	-3.589	4.087	0.031	0	0	0	1345.255737
19.18148	0	-52.550	-3.786	4.090	0.076	0	0	0	1345.248535
19.18149	0	-52.353	-3.831	4.091	0.069	0	0	0	1345.241455
19.18150	0	-52.351	-3.792	4.093	0.061	0	0	0	1345.234253
19.18151	0	-52.367	-4.079	4.097	0.069	0	0	0	1345.227051
19.18152	0	-52.478	-3.966	4.098	0.153	0	0	0	1345.219971
19.18153	0	-52.422	-3.882	4.102	0.153	0	0	0	1345.212769
19.18154	0	-52.483	-4.008	4.110	5.318	0	0	0	1345.205566
19.18155	0	-52.531	52.690	4.117	12.268	0	0	0	1345.198364
19.18156	0	-52.522	174.615	4.123	13.710	0	0	0	1345.191284
19.18157	0	-52.576	237.669	4.126	13.474	0	0	0	1345.184082
19.18158	0	-52.582	245.451	4.126	13.535	0	0	0	1345.176880
19.18159	0	-52.596	245.380	4.130	13.542	0	0	0	1345.169800
19.18160	0	-52.583	246.306	4.134	13.550	0	0	0	1345.162598
19.18161	0	-52.596	246.741	4.139	13.428	0	0	0	1345.155396
19.18162	0	-52.597	246.870	4.145	13.374	0	0	0	1345.148315
19.18163	0	-52.542	247.052	4.151	13.359	0	0	0	1345.141113
19.18164	0	-52.577	246.689	4.158	13.367	0	0	0	1345.133911
19.18165	0	-52.568	246.762	4.162	13.481	0	0	0	1345.126831
19.18166	0	-52.676	247.043	4.169	13.481	0	0	0	1345.119629
19.18167	0	-52.620	246.710	4.183	13.481	0	0	0	1345.112427
19.18168	0	-52.626	247.070	4.184	13.527	0	0	0	1345.105225
19.18169	0	-52.655	247.427	4.183	13.527	0	0	0	1345.098145
19.18170	0	-52.576	247.440	4.184	13.580	0	0	0	1345.090942
19.18171	0	-52.594	247.112	4.178	13.512	0	0	0	1345.083740
19.18172	0	-52.583	247.289	4.170	13.405	0	0	0	1345.076660
19.18173	0	-52.623	247.379	4.164	13.512	0	0	0	1345.069458
19.18174	0	-52.518	247.617	4.159	13.580	0	0	0	1345.062256
19.18175	0	-52.643	247.652	4.153	13.611	0	0	0	1345.055176
19.18176	0	-52.631	247.641	4.147	13.580	0	0	0	1345.047974
19.18177	0	-52.628	247.832	4.142	7.225	0	0	0	1345.040771
19.18178	0	-52.628	180.971	4.138	0.420	0	0	0	1345.033691
19.18179	0	-52.573	64.174	4.136	-0.046	0	0	0	1345.026489
19.18180	0	-52.553	10.231	4.131	0.015	0	0	0	1345.019287
19.18181	0	-52.592	3.851	4.124	0.076	0	0	0	1345.012085
19.18182	0	-52.638	3.619	4.115	0.099	0	0	0	1345.005005
19.18183	0	-52.643	2.809	4.112	0.122	0	0	0	1344.997803
19.18184	0	-52.533	1.971	4.108	0.175	0	0	0	1344.990601
19.18185	0	-52.617	1.244	4.102	0.000	1	1	0	1344.983521
19.18186	0	-52.573	1.155	4.096	-0.008	0	0	0	1344.976318
19.18187	0	-52.567	0.639	4.087	0.153	0	0	0	1344.969116
19.18188	0	-52.553	0.279	4.069	0.069	0	0	0	1344.962036
19.18189	0	-52.551	0.571	4.063	0.114	0	0	0	1344.954834
19.18190	0	-52.496	0.504	4.060	0.168	0	0	0	1344.947632
19.18191	0	-52.806	-0.378	4.060	0.160	0	0	0	1344.940430
19.18192	0	-52.264	-0.471	4.062	0.160	0	0	0	1344.933350
19.18193	0	-52.654	-0.398	4.064	0.137	0	0	0	1344.926147
19.18194	0	-52.512	-0.743	4.069	0.153	0	0	0	1344.918945
19.18195	0	-52.586	-0.725	4.072	0.137	0	0	0	1344.911865
19.18196	0	-52.570	-0.325	4.073	0.031	0	0	0	1344.904663
19.18197	0	-52.539	-0.835	4.071	0.061	0	0	0	1344.897461
19.18198	0	-52.536	-1.231	4.067	0.168	0	0	0	1344.890381
19.18199	0	-52.550	-1.389	4.062	0.122	0	0	0	1344.883179
19.18200	0	-52.551	-1.338	4.059	0.206	0	0	0	1344.875977
19.18201	0	-52.565	-1.628	4.059	0.206	0	0	0	1344.868896
19.18202	0	-52.553	-1.418	4.064	0.099	0	0	0	1344.861694
19.18203	0	-52.565	-1.587	4.070	0.107	0	0	0	1344.854492
19.18204	0	-52.553	-1.746	4.069	0.076	0	0	0	1344.847290
19.18205	0	-52.538	-2.129	4.067	0.053	0	0	0	1344.840210
19.18206	0	-52.495	-2.225	4.065	0.107	0	0	0	1344.833008
19.18207	0	-52.614	-2.336	4.066	0.069	0	0	0	1344.825806
19.18208	0	-52.586	-2.481	4.069	0.084	0	0	0	1344.818726
19.18209	0	-52.527	-2.550	4.070	0.061	0	0	0	1344.811523
19.18210	0	-52.548	-2.339	4.071	-0.023	0	0	0	1344.804321
19.18211	0	-52.538	-2.542	4.069	0.092	0	0	0	1344.797241
19.18212	0	-52.591	-2.766	4.066	0.137	0	0	0	1344.790039
19.18213	0	-52.542	-2.968	4.063	0.092	0	0	0	1344.782837
19.18214	0	-52.563	-2.866	4.061	0.046	0	0	0	1344.775757
19.18215	0	-52.580	-3.038	4.058	0.046	0	0	0	1344.768555
19.18216	0	-52.527	-3.229	4.054	0.084	0	0	0	1344.761353
19.18217	0	-52.548	-3.436	4.054	0.099	0	0	0	1344.754150
19.18218	0	-52.551	-2.901	4.055	0.107	0	0	0	1344.747070
19.18219	0	-52.565	-2.875	4.059	0.137	0	0	0	1344.739868
19.18220	0	-52.525	-3.093	4.063	0.061	0	0	0	1344.732666
19.18221	0	-52.589	-3.261	4.066	0.061	0	0	0	1344.725586
19.18222	0	-52.583	-3.226	4.069	0.145	0	0	0	1344.718384
19.18223	0	-52.499	-3.339	4.076	0.023	1	0	0	1344.711182
19.18224	0	-52.463	-3.563	4.075	0.031	0	0	0	1344.704102
19.18225	0	-52.405	-3.610	4.078	0.061	0	0	0	1344.696899
19.18226	0	-52.275	-3.687	4.084	0.061	0	0	0	1344.689697
19.18227	0	-52.344	-3.883	4.088	0.153	0	0	0	1344.682617
19.18228	0	-52.531	-3.738	4.089	0.160	0	0	0	1344.675415
19.18229	0	-52.551	-3.679	4.087	0.359	0	0	0	1344.668213
19.18230	0	-52.441	-3.789	4.090	0.275	0	0	0	1344.661011
19.18231	0	-52.580	22.937	4.094	7.118	0	0	0	1344.653931
19.18232	0	-52.652	144.040	4.101	13.985	0	0	0	1344.646729
19.18233	0	-52.727	228.889	4.109	13.596	0	0	0	1344.639526
19.18234	0	-52.831	245.256	4.116	13.443	0	0	0	1344.632446
19.18235	0	-52.786	245.059	4.123	13.542	0	0	0	1344.625244
19.18236	0	-52.821	245.740	4.129	13.588	0	0	0	1344.618042
19.18237	0	-52.798	246.559	4.134	13.527	0	0	0	1344.610962
19.18238	0	-52.754	246.883	4.138	13.527	0	0	0	1344.603760
19.18239	0	-52.846	247.147	4.145	13.489	0	0	0	1344.596558
19.18240	0	-52.760	246.822	4.150	13.519	0	0	0	1344.589355
19.18241	0	-52.901	247.049	4.157	13.557	0	0	0	1344.582275
19.18242	0	-52.808	247.191	4.163	13.557	0	0	0	1344.575073
19.18243	0	-52.864	247.241	4.165	13.565	0	0	0	1344.567871
19.18244	0	-52.844	247.429	4.162	13.367	0	0	0	1344.560791
19.18245	0	-52.841	247.241	4.162	13.382	0	0	0	1344.553589
19.18246	0	-52.869	247.078	4.156	13.542	0	0	0	1344.546387
19.18247	0	-53.078	247.536	4.147	13.519	0	0	0	1344.539307
19.18248	0	-52.510	247.507	4.141	13.504	0	0	0	1344.532104
19.18249	0	-52.747	247.919	4.139	13.565	0	0	0	1344.524902
