"Time"	"6 SampleCl"	"5 I1 cont"	"3 Monitor"
109.98677	1	0.174	0.031
109.98678	0	4.242	0.458
109.98679	0	12.256	69.016
109.98680	0	13.715	212.051
109.98681	0	13.495	244.385
109.98682	0	3.094	241.898
109.98683	1	-0.058	138.351
109.98684	0	-0.040	19.058
109.98685	0	0.110	0.153
109.98686	0	-0.070	1.587
109.98687	0	0.049	0.977
109.98688	0	0.116	0.351
109.98689	1	0.024	0.320
109.98690	0	0.085	-0.214
109.98691	0	11.313	3.647
109.98692	0	13.968	143.402
109.98693	0	13.785	236.359
109.98694	0	13.553	243.790
109.98695	1	2.493	222.015
109.98696	0	-0.186	71.167
109.98697	0	0.076	3.784
109.98698	0	0.137	0.717
109.98699	0	0.150	2.075
109.98700	0	0.153	1.129
109.98701	0	0.104	0.183
109.98702	1	0.043	-0.244
