"Im"	"0 Desc."	"Im"	"1 Asc."
7.061942	52.091473	4.657766	14.753397
7.039333	50.947626	4.786987	17.067176
6.997020	49.897710	4.884674	19.730092
6.953480	48.423805	4.979661	21.536871
6.911585	48.005377	5.058541	23.569341
6.872272	47.600914	5.145715	25.561719
6.829108	47.187618	5.222771	27.461965
6.786812	46.509465	5.277496	29.588425
6.742206	45.514542	5.348909	31.107102
6.693141	44.589111	5.407458	32.556322
6.649156	45.083630	5.465540	35.047138
6.604093	42.824718	5.523146	34.737903
6.557446	43.412199	5.582842	35.982872
6.504568	41.423305	5.637895	35.617609
6.462471	41.668403	5.689523	36.931713
6.413960	41.243917	5.741161	37.293951
6.363966	40.223643	5.797815	38.073482
6.312637	39.146604	5.854421	39.054872
6.258439	38.054646	5.903932	40.093016
6.205467	37.858711	5.948078	39.845400
6.154146	36.920805	6.001166	41.923448
6.098153	36.209581	6.045323	41.932238
6.035842	35.941487	6.098317	42.633015
5.974537	34.364261	6.141269	44.373447
5.923489	34.047189	6.182819	43.900083
5.858692	31.749055	6.231465	43.723493
5.791825	30.965504	6.273113	46.343498
5.723494	29.966138	6.317550	45.670442
5.660608	28.648370	6.360673	45.207957
5.582655	27.016804	6.407708	46.008742
5.502448	26.206137	6.444909	46.044756
5.421033	24.039617	6.492727	49.048460
5.336144	22.989034	6.529095	48.285852
5.246814	21.898130	6.576401	47.027840
5.132360	18.857606	6.616133	48.246249
5.010414	16.535485	6.655648	47.817147
4.840732	11.812651	6.693838	49.473111
		6.738143	48.785247
		6.780461	49.738871
		6.824938	49.838026
		6.862075	50.226017
		6.901995	50.248731
		6.938437	51.337338
		6.983012	50.836256
		7.024481	51.271534
