"Im"	"0 Desc."	"Im"	"1 Asc."
7.149764	85.207907	3.935085	17.951388
7.120785	78.721562	4.033812	21.718828
7.098654	78.542256	4.124276	24.382513
7.067970	78.702975	4.190083	26.818999
7.046064	78.603993	4.255060	29.216700
7.023909	72.987373	4.324467	31.897927
6.990786	78.585462	4.405314	32.961962
6.967137	73.014019	4.457750	35.353178
6.935584	78.566939	4.501634	37.717346
6.925243	73.078047	4.565512	37.921881
6.882283	73.046019	4.601771	40.814661
6.860371	78.505260	4.645191	42.515199
6.815840	73.072707	4.701259	42.600324
6.802655	72.923503	4.740166	42.634833
6.769348	73.083388	4.781145	46.356388
6.743736	68.203519	4.824785	46.487843
6.715322	72.939460	4.881795	46.502976
6.683511	68.110612	4.924180	48.642864
6.648383	68.161680	4.973949	51.064699
6.614884	72.907553	5.007285	48.718698
6.600706	68.166326	5.056943	53.711462
6.565142	63.950886	5.091453	51.132587
6.543101	72.880985	5.119749	53.754771
6.509720	68.203519	5.164479	51.132587
6.479773	63.844730	5.195244	56.731151
6.453775	63.889599	5.233128	53.821313
6.403473	63.889599	5.273129	56.750468
6.391108	63.844730	5.325657	56.769798
6.356623	60.190201	5.351166	53.856097
6.311858	63.803994	5.380639	60.042029
6.277946	60.161232	5.416791	53.821313
6.232007	60.121445	5.456573	60.143141
6.205936	60.085321	5.484851	60.067275
6.169863	56.844020	5.524248	56.840789
6.139464	60.092543	5.547129	63.787714
6.108629	56.792367	5.582207	60.153994
6.073731	56.776245	5.615878	60.182956
6.019717	56.779469	5.656901	63.791784
5.998162	56.785917	5.677200	63.881436
5.956611	53.795255	5.716014	63.824355
5.911947	53.783682	5.748163	63.893681
5.876518	53.809729	5.785207	68.124532
5.844104	53.795255	5.812671	63.877355
5.816037	53.766332	5.841359	63.946796
5.767502	51.109067	5.863183	68.064253
5.736245	51.075132	5.905268	68.105973
5.681711	48.687862	5.934424	63.942707
5.645524	51.049058	5.970845	72.950102
5.607043	46.502976	5.997762	68.087424
5.555390	48.623942	6.028291	68.147744
5.516526	46.461924	6.061953	68.226786
5.468826	44.468161	6.073229	72.934140
5.421375	46.425255	6.118914	68.101335
5.386881	42.607584	6.135073	72.987373
5.343110	44.416807	6.174206	72.880985
5.278232	40.894778	6.193668	68.250068
5.230049	40.873048	6.229612	73.003358
5.194250	40.861357	6.237126	68.180269
5.118504	37.881658	6.280739	78.523753
5.067122	39.288100	6.303653	68.170973
5.014368	36.508342	6.341856	78.554595
4.967126	36.489692	6.358239	73.014019
4.890633	34.070389	6.381428	68.180269
4.841012	32.969569	6.420734	85.091899
4.786799	31.925422	6.443834	68.189567
4.693087	29.206460	6.477320	78.573112
4.632880	28.377650	6.511193	73.003358
4.544181	25.563026	6.538365	78.455986
4.484450	23.231502	6.544068	78.665828
4.376448	21.286107	6.587239	73.110104
4.247511	16.222705	6.598658	78.591638
		6.638767	72.987373
		6.655823	78.610172
		6.686342	78.628715
		6.710929	78.486775
		6.747181	78.777375
		6.760758	85.041245
		6.790232	78.690589
		6.818728	85.077420
		6.848567	85.244225
		6.862347	78.591638
		6.887638	78.665828
		6.914785	78.634898
		6.937957	85.070183
		6.962696	78.672016
		6.999114	78.690589
		7.014213	85.084659
		7.044441	78.628715
		7.064305	78.641082
		7.099055	85.099140
		7.121951	78.647267
		7.146833	92.790201
		7.165650	85.142614
