"Time"	"6 SampleCl"	"5 I1 cont"	"3 Monitor"
170.53822	1	0.128	-3.989
170.53823	0	0.101	-3.763
170.53824	0	0.107	-4.099
170.53825	0	0.226	-4.013
170.53826	0	0.287	-4.211
170.53827	0	0.201	-3.967
170.53828	0	-0.003	-4.208
170.53829	0	14.102	28.134
170.53830	0	23.282	256.857
170.53831	0	22.803	442.175
170.53832	0	22.595	494.931
170.53833	0	22.565	499.985
170.53834	0	22.479	499.985
170.53835	0	22.440	499.985
170.53836	0	22.363	499.985
170.53837	0	22.418	499.985
170.53838	0	22.455	499.985
170.53839	0	22.467	499.985
170.53840	0	22.546	499.985
170.53841	0	22.583	499.985
170.53842	0	22.574	499.985
170.53843	0	22.449	499.985
170.53844	0	22.461	499.985
170.53845	0	22.485	499.985
170.53846	0	22.516	499.985
170.53847	0	22.552	499.985
170.53848	0	22.543	499.985
170.53849	0	9.024	499.985
170.53850	0	-0.397	499.985
170.53851	0	-0.516	301.389
170.53852	0	-0.220	130.988
170.53853	0	0.073	54.181
170.53854	0	0.064	25.766
170.53855	1	0.076	15.485
170.53856	0	0.119	11.130
170.53857	0	0.015	8.725
170.53858	0	-0.101	7.324
170.53859	0	-0.018	5.920
170.53860	0	-0.003	4.861
170.53861	0	0.027	4.144
170.53862	0	0.113	3.659
170.53863	0	0.027	3.229
170.53864	0	-0.146	2.484
170.53865	0	0.034	1.904
170.53866	0	0.098	1.740
170.53867	0	-0.052	0.662
170.53868	0	-0.015	0.214
170.53869	0	0.082	0.302
170.53870	0	0.134	0.238
170.53871	0	0.107	-0.311
170.53872	0	0.195	-0.284
170.53873	0	0.092	-0.391
170.53874	0	-0.012	-1.050
170.53875	0	0.046	-1.437
170.53876	0	0.067	-1.520
170.53877	0	0.116	-1.282
170.53878	0	0.143	-1.599
170.53879	0	0.082	-2.036
170.53880	0	0.064	-2.304
170.53881	0	0.085	-2.582
170.53882	0	0.064	-2.664
170.53883	0	0.046	-2.768
170.53884	0	0.073	-2.939
170.53885	0	0.046	-3.085
170.53886	0	0.162	-3.076
170.53887	0	0.177	-3.226
170.53888	0	0.131	-3.644
170.53889	1	0.238	-3.568
170.53890	0	0.223	-3.622
170.53891	0	0.204	-3.769
170.53892	0	0.201	-3.885
170.53893	0	0.119	-4.285
170.53894	0	0.104	-4.001
170.53895	0	0.104	-4.248
170.53896	0	0.101	-4.102
170.53897	0	14.224	75.681
170.53898	0	23.251	316.119
170.53899	0	22.610	468.512
170.53900	0	22.391	498.553
170.53901	0	22.580	499.985
170.53902	0	22.589	499.985
170.53903	0	22.531	499.985
170.53904	0	22.501	499.985
170.53905	0	22.284	499.985
170.53906	0	22.247	499.985
170.53907	0	22.427	499.985
170.53908	0	22.452	499.985
170.53909	0	22.433	499.985
170.53910	0	22.482	499.985
170.53911	0	22.534	499.985
170.53912	0	22.516	499.985
170.53913	0	22.574	499.985
170.53914	0	22.491	499.985
170.53915	0	22.427	499.985
170.53916	0	22.418	499.985
170.53917	0	8.804	499.985
170.53918	0	-0.507	473.129
170.53919	0	-0.452	258.713
170.53920	0	-0.131	107.959
170.53921	0	0.122	46.130
170.53922	0	0.067	23.508
170.53923	1	0.006	14.862
170.53924	0	0.122	11.374
170.53925	0	0.064	8.942
170.53926	0	0.250	7.175
170.53927	0	0.208	5.984
170.53928	0	0.089	5.304
170.53929	0	0.134	4.602
170.53930	0	0.125	4.260
170.53931	0	0.162	3.638
170.53932	0	0.143	2.957
170.53933	0	0.171	2.640
170.53934	0	0.186	2.179
170.53935	0	0.095	1.807
170.53936	0	0.064	1.410
170.53937	0	-0.070	1.425
170.53938	0	0.052	1.022
170.53939	0	0.125	0.525
170.53940	0	0.095	0.281
170.53941	0	0.180	-0.061
170.53942	0	-0.018	-0.772
170.53943	0	0.037	-0.735
170.53944	0	0.156	-0.797
170.53945	0	0.220	-1.093
170.53946	0	0.165	-1.392
170.53947	0	0.092	-1.816
170.53948	0	0.092	-1.602
170.53949	0	0.101	-2.075
170.53950	0	0.107	-2.286
170.53951	0	0.061	-2.316
170.53952	0	0.195	-2.368
170.53953	0	-0.006	-2.661
170.53954	0	-0.177	-2.658
170.53955	0	-0.034	-2.652
170.53956	0	0.055	-2.826
170.53957	1	0.079	-3.015
