"Time"	"4 Im"	"9 10Vm+hr"
166.70275	0.024	-70.621
166.70280	0.019	-70.624
166.70285	0.010	-70.627
166.70290	0.001	-70.624
166.70295	0.008	-70.679
166.70300	0.016	-70.670
166.70305	0.015	-70.645
166.70310	0.095	-70.663
166.70315	0.087	-70.746
166.70320	0.079	-70.505
166.70325	0.075	-70.807
166.70330	0.016	-70.807
166.70335	0.028	-70.831
166.70340	0.036	-70.770
166.70345	0.034	-70.837
166.70350	0.018	-70.825
166.70355	0.005	-70.859
166.70360	-0.005	-70.804
166.70365	-0.005	-70.837
166.70370	-0.007	-70.792
166.70375	-0.006	-70.810
166.70380	-0.002	-70.816
166.70385	-0.010	-70.740
166.70390	-0.002	-70.892
166.70395	0.003	-70.956
166.70400	0.016	-70.944
166.70405	0.029	-70.905
166.70410	0.029	-70.938
166.70415	0.019	-70.859
166.70420	-0.003	-70.825
166.70425	-0.008	-70.834
166.70430	-0.015	-70.807
166.70435	-0.015	-70.761
166.70440	-0.014	-70.776
166.70445	-0.017	-70.734
166.70450	-0.013	-70.752
166.70455	-0.008	-70.618
166.70460	-0.002	-70.969
166.70465	0.012	-71.161
166.70470	0.024	-71.115
166.70475	0.017	-71.185
166.70480	0.012	-71.170
166.70485	0.001	-71.155
166.70490	-0.008	-71.155
166.70495	0.002	-71.161
166.70500	0.007	-71.167
166.70505	0.010	-71.161
166.70510	0.017	-71.179
166.70515	0.005	-71.164
166.70520	0.005	-71.198
166.70525	0.012	-70.966
166.70530	0.016	-70.911
166.70535	0.031	-70.862
166.70540	0.037	-70.877
166.70545	0.029	-70.908
166.70550	0.022	-70.740
166.70555	0.008	-70.837
166.70560	0.002	-70.853
166.70565	-0.003	-70.837
166.70570	-0.000	-70.837
166.70575	0.008	-70.862
166.70580	-0.003	-70.871
166.70585	-0.001	-70.874
166.70590	-0.003	-70.709
166.70595	0.002	-70.792
166.70600	0.007	-70.862
166.70605	0.016	-70.920
166.70610	0.014	-70.929
166.70615	0.012	-70.886
166.70620	0.001	-70.987
166.70625	-0.006	-70.911
166.70630	-0.012	-70.880
166.70635	-0.020	-70.914
166.70640	-0.031	-70.972
166.70645	-0.037	-71.014
166.70650	-0.039	-70.926
166.70655	-0.029	-70.963
166.70660	-0.024	-71.042
166.70665	-0.005	-70.776
166.70670	0.002	-70.786
166.70675	0.007	-70.807
