"Time"	"6 SampleCl"	"5 I1 cont"	"3 Monitor"
49.66658	1	0.092	-6.532
49.66659	0	16.850	-4.405
49.66660	0	24.097	208.257
49.66661	0	23.814	459.151
49.66662	0	7.243	498.427
49.66663	1	-0.368	388.734
49.66664	0	-0.375	146.855
49.66665	0	-0.050	30.208
49.66666	0	0.131	0.168
49.66667	0	0.136	-4.997
49.66668	1	0.186	-6.190
49.66669	0	16.780	-5.971
49.66670	0	24.062	188.687
49.66671	0	23.723	447.768
49.66672	0	7.362	497.401
49.66673	1	-0.278	409.018
49.66674	0	-0.377	160.727
49.66675	0	-0.119	35.028
49.66676	0	0.104	1.480
49.66677	0	0.157	-4.277
49.66678	1	0.046	-5.518
49.66679	0	16.705	-5.862
49.66680	0	24.110	169.438
