"Time"	"9 10Vm+hr"	"4 Im"
23.69369	-66.891	-0.007
23.69374	-66.907	0.000
23.69379	-66.858	0.010
23.69384	-67.047	0.021
23.69389	-67.038	0.012
23.69394	-67.062	0.007
23.69399	-67.065	-0.001
23.69404	-67.068	-0.004
23.69409	-67.160	-0.000
23.69414	-66.858	0.017
23.69419	-66.980	0.023
23.69424	-67.087	0.013
23.69429	-67.108	0.009
23.69434	-67.062	-0.006
23.69439	-67.169	-0.018
23.69444	-67.136	-0.016
23.69449	-67.084	-0.007
23.69454	-67.276	-0.001
23.69459	-67.392	0.001
23.69464	-67.249	0.018
23.69469	-67.206	0.014
23.69474	-67.319	0.014
23.69479	-67.056	0.012
23.69484	-66.687	0.004
23.69489	-66.577	-0.001
23.69494	-66.614	-0.001
23.69499	-66.638	0.001
23.69504	-66.623	-0.009
23.69509	-66.656	-0.014
23.69514	-66.687	-0.000
23.69519	-66.873	0.002
23.69524	-66.748	-0.018
23.69529	-66.754	-0.019
23.69534	-66.824	-0.036
23.69539	-66.824	-0.038
23.69544	-66.760	-0.033
23.69549	-67.120	-0.005
23.69554	-67.334	-0.000
23.69559	-67.398	-0.004
23.69564	-67.264	0.010
23.69569	-67.316	-0.010
23.69574	-67.285	-0.013
23.69579	-67.297	-0.001
23.69584	-67.044	0.008
23.69589	-66.986	0.006
23.69594	-66.962	0.011
23.69599	-66.928	0.010
23.69604	-66.959	-0.001
23.69609	-66.980	0.001
23.69614	-66.797	0.008
23.69619	-67.096	0.006
23.69624	-67.166	-0.002
23.69629	-67.114	0.001
23.69634	-67.154	-0.004
23.69639	-67.215	-0.007
23.69644	-67.203	-0.002
23.69649	-66.794	0.002
23.69654	-67.050	0.005
23.69659	-67.099	0.005
23.69664	-67.010	0.008
23.69669	-66.992	0.009
23.69674	-67.023	0.001
23.69679	-66.925	0.006
23.69684	-67.007	0.017
23.69689	-67.072	0.011
23.69694	-67.099	0.011
23.69699	-67.026	-0.004
23.69704	-67.072	-0.021
23.69709	-67.065	-0.016
23.69714	-67.117	-0.008
23.69719	-67.252	0.006
23.69724	-67.310	0.026
23.69729	-67.300	0.024
23.69734	-67.313	0.014
23.69739	-67.352	0.004
23.69744	-67.282	-0.000
23.69749	-67.169	0.010
23.69754	-67.233	0.015
23.69759	-67.383	0.020
23.69764	-67.267	0.009
23.69769	-67.288	-0.004
23.69774	-67.224	-0.013
23.69779	-67.264	-0.021
23.69784	-66.962	-0.001
23.69789	-67.023	0.007
23.69794	-67.081	0.009
23.69799	-67.102	0.004
23.69804	-67.075	-0.009
23.69809	-67.102	-0.024
23.69814	-67.126	-0.015
23.69819	-66.830	0.001
23.69824	-66.727	0.011
23.69829	-66.754	0.013
23.69834	-66.666	0.004
23.69839	-66.724	-0.007
23.69844	-66.727	-0.011
23.69849	-66.919	-0.002
23.69854	-67.029	0.009
23.69859	-67.133	-0.001
23.69864	-66.989	-0.004
23.69869	-67.038	-0.006
23.69874	-67.093	-0.012
23.69879	-67.151	-0.013
23.69884	-66.867	0.012
23.69889	-67.001	0.014
23.69894	-67.117	0.008
23.69899	-67.093	0.010
23.69904	-67.078	-0.004
23.69909	-67.056	-0.015
