"Im"	"0 Desc."	"Im"	"1 Asc."
7.198893	131.440589	4.525975	69.764197
7.171209	133.067199	4.556986	70.397747
7.178723	116.373793	4.614330	24.351045
7.184347	132.520541	4.651707	83.934867
7.120318	131.457868	4.667446	63.363325
7.116321	121.212121	4.711841	64.850843
7.123544	120.685494	4.761222	70.111477
7.079366	126.694539	4.755729	70.368025
7.075980	125.897016	4.823725	74.178473
7.040173	120.120120	4.835016	76.575542
7.041103	110.558320	4.863964	74.454620
7.001430	139.198218	4.883525	86.918731
6.996954	114.850121	4.894889	76.610741
6.981623	120.860527	4.939968	87.343873
6.945583	114.547537	4.961286	79.038887
6.965753	116.360251	4.983157	84.373945
6.952529	110.083664	5.010216	78.883016
6.923145	119.246363	5.038627	86.715227
6.884097	126.310471	5.046997	90.546903
6.888675	105.932203	5.089257	79.220471
6.856588	114.116170	5.103731	87.009484
6.827683	126.406270	5.132911	90.587916
6.856370	106.609808	5.164751	104.536902
6.797006	124.579544	5.170027	87.389671
6.777286	110.059432	5.186477	81.839758
6.766953	115.048320	5.240871	95.914061
6.778274	116.400885	5.243109	85.026783
6.739720	108.506944	5.273307	93.940817
6.700323	110.071547	5.285892	93.109870
6.704247	106.100796	5.320013	101.153146
6.679876	109.902187	5.317194	90.653613
6.658456	114.272655	5.356068	93.388121
6.648996	101.317123	5.379464	100.979501
6.618536	114.351058	5.401917	93.396843
6.622140	106.292517	5.412321	94.509026
6.584458	109.469075	5.459740	99.462900
6.550598	101.204332	5.451050	94.723880
6.542111	114.560660	5.496826	103.971720
6.511419	97.456388	5.492147	102.061645
6.512349	105.831305	5.544332	104.580632
6.472691	108.754758	5.549389	94.553707
6.453945	105.362975	5.563078	101.163379
6.439645	101.812258	5.590486	104.975856
6.434065	105.218855	5.594570	105.396290
6.423398	101.781170	5.638675	104.101603
6.408502	97.153405	5.637745	98.415510
6.376939	109.110747	5.664106	105.185653
6.344968	97.389949	5.693723	109.637101
6.322283	97.030856	5.707165	105.351875
6.320801	98.019996	5.722816	107.828337
6.272103	99.671085	5.744193	102.113755
6.244085	97.370983	5.790158	101.235068
6.251569	97.943193	5.787295	110.168558
6.211533	93.475416	5.791423	106.202209
6.208511	93.905531	5.801275	101.884870
6.183065	97.361503	5.837184	114.181320
6.162269	100.684656	5.855786	109.349371
6.119181	89.879561	5.894034	109.902187
6.106814	95.102235	5.897246	110.156422
6.095058	96.227868	5.915135	109.998900
6.058786	90.009001	5.946001	101.430165
6.032250	93.808630	5.972305	119.331742
6.036159	85.164367	5.980254	110.217128
5.990208	95.932464	6.009449	109.337415
5.976737	89.007566	6.014157	106.484932
5.983465	86.184607	6.038688	113.675117
5.927080	89.605735	6.028297	116.076611
5.918899	84.774500	6.076224	118.539592
5.894180	81.900082	6.083563	111.321385
5.843302	84.839230	6.123991	114.233493
5.841399	88.975888	6.142055	114.771032
5.809806	84.175084	6.132827	116.022740
5.798601	77.011937	6.151922	119.260584
5.757068	81.175420	6.184750	119.645848
5.716902	79.207921	6.205372	116.373793
5.709882	79.207921	6.199573	121.036069
5.660822	75.757576	6.239086	109.385255
5.648600	80.211759	6.239479	130.804447
5.625828	77.899821	6.259068	111.756817
5.595994	70.581592	6.273019	119.817877
5.567685	76.464291	6.298523	110.290063
5.534261	70.571630	6.308695	119.688809
5.499631	76.295109	6.340899	125.565043
5.489618	65.346664	6.355693	105.507491
5.433989	73.545635	6.352016	121.226815
5.423293	62.177454	6.394755	119.303269
5.393008	75.987842	6.411365	110.338740
5.341593	38.306838	6.421145	120.554551
5.307007	69.232899	6.429225	113.960114
5.212330	21.383056	6.468593	121.344497
5.185242	64.345924	6.463405	118.906064
		6.495623	115.861430
		6.504488	119.345984
		6.515794	112.943302
		6.571713	118.623962
		6.570841	119.660165
		6.580738	125.612360
		6.607157	120.438396
		6.613537	115.101289
		6.640480	120.496445
		6.671796	127.016385
		6.690122	110.803324
		6.674601	125.093820
		6.723546	120.394895
		6.684701	124.331717
		6.741377	122.669284
		6.754456	125.786164
		6.757391	119.517151
		6.777722	126.310471
		6.795247	127.258844
		6.832566	121.138704
		6.841343	131.388779
		6.850135	116.211505
		6.850339	138.121547
		6.887498	116.754232
		6.904079	121.153380
		6.917637	137.211855
		6.913002	120.554551
		6.942720	127.420999
		6.976420	125.738715
		6.991199	126.582278
		7.003624	127.795527
		7.025205	125.549278
		7.008246	130.174434
		7.044634	122.639195
		7.045710	130.787340
		7.092271	128.485160
		7.128470	121.256214
		7.100525	138.217001
		7.141433	115.620303
		7.140983	139.840582
		7.178577	127.113258
		7.189651	131.943528
		7.192281	121.344497
