"Time"	"3 Monitor"
11.623079	-3.375
11.623084	-3.362
11.623089	-3.171
11.623094	-3.140
11.623099	-3.361
11.623104	-3.581
11.623109	-3.652
11.623114	-3.597
11.623119	-3.473
11.623124	-3.368
11.623129	-3.302
11.623134	-3.203
11.623139	-3.119
11.623144	-3.245
11.623149	-3.535
11.623154	-3.616
11.623159	-3.333
11.623164	-2.844
11.623169	-2.453
11.623174	-2.607
11.623179	-3.185
11.623184	-3.325
11.623189	-2.836
11.623194	-2.456
11.623199	-2.553
11.623204	-2.932
11.623209	-3.334
11.623214	-3.471
11.623219	-3.304
11.623224	-3.112
11.623229	-3.057
11.623234	-3.119
11.623239	-3.258
11.623244	-3.422
11.623249	-3.557
11.623254	-3.609
11.623259	-3.545
11.623264	-3.364
11.623269	-3.204
11.623274	-3.372
11.623279	-3.736
11.623284	-3.600
11.623289	-2.956
11.623294	-2.731
11.623299	-3.152
11.623304	-3.472
11.623309	-3.390
11.623314	-3.263
11.623319	-3.281
11.623324	-3.357
11.623329	-3.408
