"Time"	"3 Monitor"
136.461082	0.092
136.461087	0.089
136.461092	0.275
136.461097	0.865
136.461102	-0.671
136.461107	-4.710
136.461112	-0.259
136.461117	28.435
136.461122	104.813
136.461127	236.949
136.461132	363.785
136.461137	426.205
136.461142	442.017
136.461147	443.199
136.461152	441.498
136.461157	442.132
136.461162	444.458
136.461167	446.766
136.461172	448.944
136.461177	451.216
136.461182	453.552
136.461187	455.721
136.461192	456.940
136.461197	457.171
136.461202	459.915
136.461207	466.024
136.461212	462.204
136.461217	431.121
136.461222	353.409
136.461227	224.461
136.461232	100.739
136.461237	36.497
136.461242	16.098
136.461247	10.990
136.461252	10.849
136.461257	10.899
136.461262	10.330
136.461267	9.345
136.461272	8.240
136.461277	7.295
136.461282	6.638
136.461287	6.264
136.461292	5.814
136.461297	5.026
136.461302	4.410
136.461307	4.426
136.461312	4.578
136.461317	4.310
136.461322	3.784
136.461327	3.295
136.461332	2.960
136.461337	2.798
136.461342	2.609
136.461347	2.238
136.461352	1.923
136.461357	1.881
136.461362	1.862
136.461367	1.606
136.461372	1.312
136.461377	1.193
136.461382	1.083
136.461387	0.809
136.461392	0.549
136.461397	0.493
136.461402	0.504
136.461407	0.414
136.461412	0.244
136.461417	0.067
136.461422	-0.031
136.461427	-0.041
136.461432	-0.305
136.461437	-0.944
136.461442	-0.854
136.461447	8.879
136.461452	67.215
136.461457	198.202
136.461462	336.212
136.461467	413.105
136.461472	440.353
136.461477	445.898
136.461482	443.924
136.461487	443.204
136.461492	444.611
136.461497	447.063
136.461502	449.570
136.461507	451.436
136.461512	453.079
136.461517	454.938
136.461522	456.436
136.461527	457.175
136.461532	458.466
136.461537	461.050
136.461542	461.670
136.461547	449.879
136.461552	390.472
136.461557	262.698
136.461562	128.357
136.461567	51.322
136.461572	21.194
136.461577	12.256
136.461582	11.795
136.461587	11.963
136.461592	11.368
136.461597	10.263
136.461602	9.048
136.461607	8.066
136.461612	7.294
136.461617	6.638
136.461622	6.073
136.461627	5.596
136.461632	5.234
136.461637	5.006
136.461642	4.883
136.461647	4.786
136.461652	4.486
136.461657	3.858
136.461662	3.357
136.461667	3.373
136.461672	3.464
136.461677	3.157
136.461682	2.701
136.461687	2.428
136.461692	2.304
136.461697	2.228
136.461702	2.197
136.461707	2.186
136.461712	1.984
136.461717	1.459
136.461722	0.977
136.461727	0.873
136.461732	0.870
136.461737	0.667
136.461742	0.504
