"Im"	"0 Desc."	"Im"	"1 Asc."	"Im"	"2 All"
6.127181	80.198893	4.930497	18.613309	4.825017	0.000000
6.114857	75.918615	4.997293	30.751253	4.930497	18.613309
6.086274	78.665828	5.050020	36.440493	4.997293	30.751253
6.041969	71.438777	5.099849	41.187858	5.050020	36.440493
6.026104	74.940048	5.145806	43.378302	5.099849	41.187858
5.997656	68.856297	5.196527	46.624394	5.145806	43.378302
5.963823	73.545635	5.236950	46.820863	5.196527	46.624394
5.944035	69.749599	5.282190	47.867503	5.236950	46.820863
5.907285	69.754464	5.321200	50.591926	5.282190	47.867503
5.878351	70.081996	5.368344	48.806677	5.321200	50.591926
5.845843	65.625410	5.395238	57.524160	5.368344	48.806677
5.822370	70.736366	5.438624	52.232959	5.395238	57.524160
5.788919	62.332481	5.466143	57.673453	5.438624	52.232959
5.754876	65.492174	5.500792	57.994549	5.466143	57.673453
5.724223	60.437568	5.544877	58.092250	5.500792	57.994549
5.687229	61.812338	5.575660	62.589973	5.544877	58.092250
5.652936	59.855151	5.610380	57.723390	5.575660	62.589973
5.614455	56.721497	5.642541	64.329366	5.610380	57.723390
5.584003	55.928412	5.669985	64.057395	5.642541	64.329366
5.546656	58.336250	5.698878	62.912866	5.669985	64.057395
5.499582	51.692944	5.736022	68.737971	5.698878	62.912866
5.471217	53.946162	5.766586	66.436354	5.736022	68.737971
5.427907	48.614487	5.797294	66.507050	5.766586	66.436354
5.383456	49.368088	5.827374	66.880685	5.797294	66.507050
5.344449	48.692604	5.855388	67.019637	5.827374	66.880685
5.298416	43.685291	5.886080	68.535399	5.855388	67.019637
5.245917	42.446623	5.916983	71.802973	5.886080	68.535399
5.193659	43.994721	5.941631	74.526755	5.916983	71.802973
5.143559	37.418148	5.971434	70.200070	5.941631	74.526755
5.092717	35.079103	5.998743	73.534819	5.971434	70.200070
5.019474	28.506271	6.020260	74.349442	5.998743	73.534819
4.936634	24.813896	6.058348	76.016724	6.020260	74.349442
		6.077726	74.167470	6.058348	76.016724
		6.098824	76.911244	6.077726	74.167470
		6.138855	77.023800	6.098824	76.911244
				6.138855	77.023800
				6.127181	80.198893
				6.114857	75.918615
				6.086274	78.665828
				6.041969	71.438777
				6.026104	74.940048
				5.997656	68.856297
				5.963823	73.545635
				5.944035	69.749599
				5.907285	69.754464
				5.878351	70.081996
				5.845843	65.625410
				5.822370	70.736366
				5.788919	62.332481
				5.754876	65.492174
				5.724223	60.437568
				5.687229	61.812338
				5.652936	59.855151
				5.614455	56.721497
				5.584003	55.928412
				5.546656	58.336250
				5.499582	51.692944
				5.471217	53.946162
				5.427907	48.614487
				5.383456	49.368088
				5.344449	48.692604
				5.298416	43.685291
				5.245917	42.446623
				5.193659	43.994721
				5.143559	37.418148
				5.092717	35.079103
				5.019474	28.506271
				4.936634	24.813896
