"Im"	"0 Desc."	"Im"	"1 Asc."	"Im"	"2 All"
6.162770	145.878920	4.079774	38.028598	4.013531	0.000000
6.137399	127.016385	4.125807	37.884528	4.079774	38.028598
6.121600	128.733265	4.178470	42.495326	4.125807	37.884528
6.110911	128.008193	4.217248	56.795593	4.178470	42.495326
6.096293	113.623452	4.254223	48.740069	4.217248	56.795593
6.088750	145.369967	4.308347	48.661800	4.254223	48.740069
6.059320	113.417262	4.341760	51.064699	4.308347	48.661800
6.040604	128.205128	4.372581	56.789142	4.341760	51.064699
6.028872	114.064104	4.422662	78.186083	4.372581	56.789142
6.003599	127.893593	4.447526	57.038558	4.422662	78.186083
6.004173	113.597637	4.478906	63.779578	4.447526	57.038558
5.978453	145.116819	4.501531	60.339106	4.478906	63.779578
5.962160	102.270403	4.539859	72.547882	4.501531	60.339106
5.948205	128.057370	4.562376	64.069708	4.539859	72.547882
5.920873	113.520263	4.595978	68.217477	4.562376	64.069708
5.906111	113.817437	4.619674	72.574207	4.595978	68.217477
5.900530	126.662445	4.655624	64.308682	4.619674	72.574207
5.865017	102.806621	4.695694	72.542619	4.655624	64.308682
5.846342	113.597637	4.720474	73.174301	4.695694	72.542619
5.831375	113.455866	4.732750	77.821012	4.720474	73.174301
5.812630	102.553584	4.778371	73.887986	4.732750	77.821012
5.798932	126.167045	4.794952	73.152890	4.778371	73.887986
5.780649	103.007829	4.833312	84.631009	4.794952	73.152890
5.765968	113.237459	4.840182	78.951524	4.833312	84.631009
5.732630	102.322726	4.866793	78.449831	4.840182	78.951524
5.721786	113.908190	4.891360	85.251492	4.866793	78.449831
5.696025	101.667344	4.917921	78.758762	4.891360	85.251492
5.683153	102.690491	4.948131	85.171621	4.917921	78.758762
5.659142	102.637791	4.969753	84.832033	4.948131	85.171621
5.643048	102.009589	4.988347	92.919532	4.969753	84.832033
5.618570	101.957586	5.019812	85.295121	4.988347	92.919532
5.596701	101.461039	5.033270	85.418980	5.019812	85.295121
5.567311	93.773443	5.062247	92.876382	5.033270	85.418980
5.563279	102.072063	5.089623	85.280573	5.062247	92.876382
5.540526	102.040816	5.106022	101.040719	5.089623	85.280573
5.528268	92.902267	5.120482	85.829543	5.106022	101.040719
5.496708	102.259945	5.149220	102.019996	5.120482	85.829543
5.481083	92.319055	5.182214	93.040566	5.149220	102.019996
5.447412	93.414292	5.187721	93.014603	5.182214	93.040566
5.430753	93.222709	5.215955	101.978381	5.187721	93.014603
5.419375	91.844232	5.230689	101.801894	5.215955	101.978381
5.384247	85.859019	5.251720	93.457944	5.230689	101.801894
5.368144	92.980009	5.274892	101.947191	5.251720	93.457944
5.341689	85.236959	5.300120	102.040816	5.274892	101.947191
5.313643	85.338795	5.318104	102.322726	5.300120	102.040816
5.299778	92.652645	5.333217	101.832994	5.318104	102.322726
5.263195	85.128118	5.364372	114.142221	5.333217	101.832994
5.245919	84.781687	5.381652	92.962722	5.364372	114.142221
5.225607	79.082641	5.388323	112.739572	5.381652	92.962722
5.198357	78.678206	5.416345	102.134613	5.388323	112.739572
5.168292	78.634898	5.439312	102.806621	5.416345	102.134613
5.141354	78.143315	5.457240	102.124183	5.439312	102.806621
5.110241	85.236959	5.473631	113.352981	5.457240	102.124183
5.089746	72.801398	5.492341	102.165917	5.473631	113.352981
5.066929	79.302141	5.517895	113.365832	5.492341	102.165917
5.030074	72.769611	5.531130	102.595670	5.517895	113.365832
5.011346	72.992701	5.547473	113.726828	5.531130	102.595670
4.974367	68.152389	5.563280	112.994350	5.547473	113.726828
4.937348	64.090239	5.589856	102.585146	5.563280	112.994350
4.917973	67.980965	5.608294	113.352981	5.589856	102.585146
4.887428	63.641571	5.627868	102.406554	5.608294	113.352981
4.852845	60.157613	5.632666	126.630366	5.627868	102.406554
4.805601	56.989799	5.665300	102.490520	5.632666	126.630366
4.781915	60.070884	5.676027	127.485977	5.665300	102.490520
4.733600	51.163981	5.689336	102.722137	5.676027	127.485977
4.686569	48.557832	5.711120	127.502231	5.689336	102.722137
4.655854	51.124744	5.736852	113.134970	5.711120	127.502231
4.606991	46.352090	5.742335	126.630366	5.736852	113.134970
4.564501	42.674860	5.762095	103.359173	5.742335	126.630366
4.495971	27.585446	5.773540	127.323657	5.762095	103.359173
4.407601	22.736057	5.810166	112.841345	5.773540	127.323657
		5.810869	128.650457	5.810166	112.841345
		5.835568	112.803158	5.810869	128.650457
		5.851542	114.889706	5.835568	112.803158
		5.870029	143.492610	5.851542	114.889706
		5.888579	113.791534	5.870029	143.492610
		5.904372	114.995400	5.888579	113.791534
		5.926912	127.307447	5.904372	114.995400
		5.931409	113.713896	5.926912	127.307447
		5.942506	143.533802	5.931409	113.713896
		5.970955	114.142221	5.942506	143.533802
		5.986301	128.024581	5.970955	114.142221
		6.006748	114.455763	5.986301	128.024581
		6.020546	127.779198	6.006748	114.455763
		6.041844	126.823082	6.020546	127.779198
		6.057565	127.404765	6.041844	126.823082
		6.064739	127.113258	6.057565	127.404765
		6.090001	115.074799	6.064739	127.113258
		6.101445	144.738747	6.090001	115.074799
		6.120824	114.051095	6.101445	144.738747
		6.132099	145.560408	6.120824	114.051095
		6.147455	127.145582	6.132099	145.560408
				6.147455	127.145582
				6.162770	145.878920
				6.137399	127.016385
				6.121600	128.733265
				6.110911	128.008193
				6.096293	113.623452
				6.088750	145.369967
				6.059320	113.417262
				6.040604	128.205128
				6.028872	114.064104
				6.003599	127.893593
				6.004173	113.597637
				5.978453	145.116819
				5.962160	102.270403
				5.948205	128.057370
				5.920873	113.520263
				5.906111	113.817437
				5.900530	126.662445
				5.865017	102.806621
				5.846342	113.597637
				5.831375	113.455866
				5.812630	102.553584
				5.798932	126.167045
				5.780649	103.007829
				5.765968	113.237459
				5.732630	102.322726
				5.721786	113.908190
				5.696025	101.667344
				5.683153	102.690491
				5.659142	102.637791
				5.643048	102.009589
				5.618570	101.957586
				5.596701	101.461039
				5.567311	93.773443
				5.563279	102.072063
				5.540526	102.040816
				5.528268	92.902267
				5.496708	102.259945
				5.481083	92.319055
				5.447412	93.414292
				5.430753	93.222709
				5.419375	91.844232
				5.384247	85.859019
				5.368144	92.980009
				5.341689	85.236959
				5.313643	85.338795
				5.299778	92.652645
				5.263195	85.128118
				5.245919	84.781687
				5.225607	79.082641
				5.198357	78.678206
				5.168292	78.634898
				5.141354	78.143315
				5.110241	85.236959
				5.089746	72.801398
				5.066929	79.302141
				5.030074	72.769611
				5.011346	72.992701
				4.974367	68.152389
				4.937348	64.090239
				4.917973	67.980965
				4.887428	63.641571
				4.852845	60.157613
				4.805601	56.989799
				4.781915	60.070884
				4.733600	51.163981
				4.686569	48.557832
				4.655854	51.124744
				4.606991	46.352090
				4.564501	42.674860
				4.495971	27.585446
				4.407601	22.736057
