cell,Gin,DCCfreq,relDCCfreq,Ion,Ioff,ascSlope,Vthr,deltaI,deltaF,descSlope,globalSlope,file,tauM,expDate,mouseType,mouseSex,mouseAge,mouseWeight,electrodeType,electrodeR
Cell4084,0.99377,8000,26.24,12.315,14.206,12.312,-60.298,1.892,19.587,19.857,10.683,7,3.28,2020-06-24,C57BL/6,M,169,28,KCl 3M,16
Cell4084,1.26544,3000,9.84,12.468,14.02,12.544,-62.81,1.552,16.937,21.744,11.909,7,3.28,2020-06-24,C57BL/6,M,169,28,KCl 3M,16
Cell4084,2.23162,1000,3.28,9.969,11.596,16.362,-70.024,1.627,-1,14.46,8.117,7,3.28,2020-06-24,C57BL/6,M,169,28,KCl 3M,16
Cell4090,0.72948,1000,5.12,3.165,4.066,34.262,-53.363,0.901,4.938,,,6,5.12,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4090,0.48738,3000,15.36,3.83,4.778,9.476,-47.018,0.948,-3.191,,,6,5.12,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4090,0.42965,8000,40.96,4.208,,12.579,-41.721,,,,,6,5.12,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4090,0.40090,10000,51.2,4.102,,13.464,-43.64,,,,,6,5.12,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,,0,0,4.481,4.813,13.912,-33.752,0.331,-2.194,15.683,14.172,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,,0,0,4.53,4.841,14.744,-33.597,0.311,-2.941,16.537,14.995,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.40906,500,1.895,3.3,3.8,36,-52.63,0.4,-1.1,35,33,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.34952,1000,3.79,3.827,4.248,18.573,-47.211,0.42,-1.729,20.691,18.803,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.33740,1500,5.685,4.355,4.682,18.638,-44.315,0.327,-0.53,20.917,19.129,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.33388,2000,7.58,4.326,4.763,15.222,-41.089,0.437,-0.745,18.446,15.75,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.31469,2500,9.475,4.546,4.853,16.118,-39.856,0.307,-1.057,17.913,16.419,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.31416,3000,11.37,4.341,4.784,13.62,-38.145,0.442,-0.979,16.495,14.113,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.28066,5000,18.95,4.489,4.766,13.837,-36.908,0.276,-2.171,15.851,14.273,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.29501,5000,18.95,4.46,4.826,13.921,-36.996,0.366,-1.317,16.148,14.313,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.26799,6000,22.74,4.478,4.794,13.624,-36.626,0.316,-3.059,15.907,14.125,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.28886,7000,26.53,4.515,4.905,13.314,-35.535,0.39,0.869,15.485,13.755,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.28267,8000,30.32,4.458,4.684,13.286,-37.115,0.226,-1.492,15.114,13.788,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4091,0.26133,10000,37.9,4.461,4.851,14.222,-35.834,0.39,0.76,15.703,14.4,8,3.79,2020-07-01,C57BL/6,M,176,31,KCl 3M,17
Cell4098,0.27312,8000,40.96,4.518,5.298,19.831,-44.531,0.781,-5.493,31.202,19.537,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4098,0.35475,3000,15.36,4.253,5.258,17.187,-48.068,1.005,6.054,33.733,16.884,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4098,0.26943,10000,51.2,4.711,5.474,19.872,-45.068,0.762,-3.688,37.743,20.551,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4098,0.35626,2000,10.24,4.155,4.889,24.163,-55.327,0.734,-15.065,35.033,24.699,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4098,0.29590,5000,25.6,4.819,5.246,22.886,-50.188,0.427,-0.103,33.046,24.574,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4098,0.40375,1000,5.12,2.859,3.702,58.571,-62.109,0.843,-7.898,131.565,116.172,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4098,0.33402,2500,12.8,4.488,5.185,22.907,-51.193,0.697,-5.418,34.573,23.26,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4098,0.38141,1500,7.68,3.441,4.312,25.972,-60.463,0.871,16.529,32.673,25.818,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4098,0.29730,8000,40.96,4.854,5.384,19.024,-47.856,0.531,-0.759,34.672,20.839,1,5.12,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4099,0.23414,8000,26.08,4.733,6.203,7.606,-45.258,1.47,-40.068,10.994,7.868,2,3.26,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4099,0.27612,3000,9.78,4.713,6.122,7.444,-51.834,1.409,-24.767,1.995,7.721,2,3.26,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4099,0.25394,5000,16.3,4.94,6.418,7.584,-47.963,1.478,-13.152,11.539,8.22,2,3.26,2020-07-07,C57BL/6,M,182,30,KCl 3M,16
Cell4109,0.28291,3000,13.26,4.188,4.469,23.987,-47.894,0.281,-8.038,31.03,27.227,8,4.42,2020-09-08,B6SJL,M,54,29,KAcetate 2M,33
Cell4109,0.24825,8000,35.36,4.703,4.975,28.775,-46.828,0.272,8.449,36.315,32.048,8,4.42,2020-09-08,B6SJL,M,54,29,KAcetate 2M,33
Cell4109,,0,0,4.825,4.937,32.943,-49.413,0.112,6.201,39.595,36.354,8,4.42,2020-09-08,B6SJL,M,54,29,KAcetate 2M,33
Cell4109,0.26986,5000,22.1,4.646,4.875,29.761,-51.164,0.229,-2.063,37.712,33.445,8,4.42,2020-09-08,B6SJL,M,54,29,KAcetate 2M,33
Cell4109,0.35177,1000,4.42,4.014,4.408,39.612,-61.476,0.394,-15.293,53.049,44.8,8,4.42,2020-09-08,B6SJL,M,54,29,KAcetate 2M,33
Cell4111,0.29086,8000,27.28,10.609,11.032,14.155,-40.219,0.422,-9.618,21.727,17.295,4,3.41,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4111,0.36886,5000,17.05,9.348,9.985,18.421,-49.597,0.637,9.304,21.235,19.79,4,3.41,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4111,0.41586,3000,10.23,8.504,9.449,20.45,-59.521,0.945,14.196,22.864,21.322,4,3.41,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4111,1.04455,1000,3.41,6.622,7.677,29.61,-71.653,1.055,4.519,-6.516,0.329,4,3.41,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4111,,0,0,9.364,9.632,16.565,,0.268,-8.297,26.071,21.362,4,3.41,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,0.38366,8000,27.2,7.413,7.383,21.096,-45.29,-0.03,-11.449,24.732,22.618,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,0.40566,5000,17,7.165,7.145,18.237,-49.1,-0.02,-6.769,22.465,20.067,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,0.37672,3000,10.2,7.147,7.357,17.356,-57.111,0.21,-6.551,25.738,20.667,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,0.54096,1000,3.4,5.965,6.567,,-64.944,0.603,-203.62,,,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,,0,0,7.562,7.676,18.818,,0.114,-0.012,22.381,20.495,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,0.37779,8000,27.2,7.482,7.586,15.303,-45.018,0.104,7.917,24.721,19.488,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,0.40821,5000,17,7.109,7.262,15.355,-47.952,0.153,0.972,20.305,17.543,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,0.45216,3000,10.2,6.978,7.199,16.05,-51.889,0.221,-13.331,26.601,20.158,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4113,,0,0,7.928,8.202,20.555,-68.994,0.274,11.88,22.989,21.586,4,3.4,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4115,0.43695,8000,24.24,9.635,10.871,12.488,-42.606,1.237,4.146,21.609,13.491,4,3.03,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4115,,0,0,10.207,11.288,11.588,-58.699,1.081,-4.124,21.828,13.529,4,3.03,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4115,0.48081,5000,15.15,9.582,10.991,9.508,-45.221,1.409,0.907,20.366,12.829,4,3.03,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4115,0.40539,10000,30.3,9.799,11.198,9.777,-39.957,1.398,16.464,17.999,11.054,4,3.03,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4115,0.42602,8000,24.24,9.544,11.226,9.139,-41.33,1.682,20.519,18.448,10.898,4,3.03,2020-09-10,B6SJL,M,49,25,KAcetate 2M,28
Cell4120,0.07316,8000,48.56,0.986,0.846,25.617,-47.83,-0.14,-1.555,27.563,26.551,11,6.07,2020-09-17,B6SJL,M,49,27,KAcetate 2M,27
Cell4120,0.08152,3000,18.21,0.98,0.894,27.792,-47.806,-0.086,-0.648,27.534,27.592,11,6.07,2020-09-17,B6SJL,M,49,27,KAcetate 2M,27
Cell4120,,0,0,0.881,0.855,28.305,-51.888,-0.026,10.042,32.04,29.976,11,6.07,2020-09-17,B6SJL,M,49,27,KAcetate 2M,27
Cell4120,0.08550,5000,30.35,0.994,0.848,22.346,-46.66,-0.145,-7.694,28.607,25.266,11,6.07,2020-09-17,B6SJL,M,49,27,KAcetate 2M,27
Cell4126,0.18449,8000,35.84,3.221,3.151,37.59,-41.566,-0.07,-6.245,33.698,35.552,9,4.48,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4126,,0,0,3.162,3.177,38.049,-47.513,0.015,-5.481,37.276,37.689,9,4.48,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4126,0.22212,3000,13.44,3.314,3.298,42.746,-48.401,-0.016,-3.155,43.767,43.4,9,4.48,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4126,0.17982,10000,44.8,3.463,3.399,41.825,-41.824,-0.064,2.032,39.29,40.557,9,4.48,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4126,0.19410,5000,22.4,3.321,3.299,40.257,-44.113,-0.022,-0.327,38.34,39.364,9,4.48,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4126,0.25572,1000,4.48,2.715,2.974,47.42,-58.716,0.259,-556.16,58.616,50.118,9,4.48,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4126,,0,0,3.477,3.44,44.249,-45.016,-0.037,-3.203,41.595,42.838,9,4.48,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4129,0.31482,8000,27.04,4.913,6.215,17.327,-39.476,1.302,26.025,26.942,16.378,4,3.38,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4129,0.45206,3000,10.14,4.719,6.16,18.117,-43.011,1.441,23.45,28.108,17.123,4,3.38,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
Cell4129,,0,0,4.638,6.465,16.425,-46.027,1.828,37.061,24.31,14.431,4,3.38,2020-10-08,B6SJL,M,53,25,KAcetate 2M,25
