DCC_freq,tau_M,G_e,tau_e,Gin
1.0,2.0,0.2,0.01,0.4769297117378122
1.0,2.0,0.2,0.006666666666666666,0.4769297117378122
1.0,2.0,0.2,0.005,0.4769297117378122
1.0,2.0,0.1,0.01,0.4769297117378122
1.0,2.0,0.1,0.006666666666666666,0.4769297117378122
1.0,2.0,0.1,0.005,0.4769297117378122
1.0,3.0,0.2,0.015,0.4488490945587291
1.0,3.0,0.2,0.01,0.4488490945587291
1.0,3.0,0.2,0.0075,0.4488490945587291
1.0,3.0,0.1,0.015,0.4488490945587291
1.0,3.0,0.1,0.01,0.4488490945587291
1.0,3.0,0.1,0.0075,0.4488490945587291
1.0,4.0,0.2,0.02,0.4357706801987817
1.0,4.0,0.2,0.013333333333333332,0.4357706801987912
1.0,4.0,0.2,0.01,0.4357706801987912
1.0,4.0,0.1,0.02,0.43577068019877213
1.0,4.0,0.1,0.013333333333333332,0.4357706801987912
1.0,4.0,0.1,0.01,0.4357706801987912
1.0,5.0,0.2,0.025,0.42823306854047516
1.0,5.0,0.2,0.016666666666666666,0.4282330685476906
1.0,5.0,0.2,0.0125,0.4282330685476906
1.0,5.0,0.1,0.025,0.42823306853325965
1.0,5.0,0.1,0.016666666666666666,0.4282330685476906
1.0,5.0,0.1,0.0125,0.4282330685476906
2.0,2.0,0.2,0.01,0.4357685949926708
2.0,2.0,0.2,0.006666666666666666,0.43576859499268034
2.0,2.0,0.2,0.005,0.43576859499268034
2.0,2.0,0.1,0.01,0.4357685949926613
2.0,2.0,0.1,0.006666666666666666,0.43576859499268034
2.0,2.0,0.1,0.005,0.43576859499268034
2.0,3.0,0.2,0.015,0.42328627009181347
2.0,3.0,0.2,0.01,0.4232862706920994
2.0,3.0,0.2,0.0075,0.4232862706921084
2.0,3.0,0.1,0.015,0.42328626949151865
2.0,3.0,0.1,0.01,0.4232862706920904
2.0,3.0,0.1,0.0075,0.4232862706921084
2.0,4.0,0.2,0.02,0.4172617384736782
2.0,4.0,0.2,0.013333333333333332,0.4172618892934729
2.0,4.0,0.2,0.01,0.4172618893297339
2.0,4.0,0.1,0.02,0.4172615876177228
2.0,4.0,0.1,0.013333333333333332,0.41726188925720303
2.0,4.0,0.1,0.01,0.4172618893297252
2.0,5.0,0.2,0.025,0.4137278349429484
2.0,5.0,0.2,0.016666666666666666,0.41373198281377704
2.0,5.0,0.2,0.0125,0.41373198809904516
2.0,5.0,0.1,0.025,0.413723681863497
2.0,5.0,0.1,0.016666666666666666,0.41373197752177393
2.0,5.0,0.1,0.0125,0.4137319880923101
3.0,2.0,0.2,0.01,0.42340492061077123
3.0,2.0,0.2,0.006666666666666666,0.4234049211536603
3.0,2.0,0.2,0.005,0.42340492115366796
3.0,2.0,0.1,0.01,0.42340492006787456
3.0,2.0,0.1,0.006666666666666666,0.4234049211536526
3.0,2.0,0.1,0.005,0.42340492115366796
3.0,3.0,0.2,0.015,0.4153589210347901
