DCC_freq,I_com,R_in,tau_M,data,ripple_amp,relDCCfreq,ripple_amp_AU
1.0,1,1.5,2.0,"[   0.            4.99722325    9.98889711 ... 1262.24750153 1260.84578318
 1259.44562143] uV",0.49769903 mV,2.0,0.4976990328768539
1.0,5,1.5,2.0,[0.         0.02498612 0.04994449 ... 6.31123751 6.30422892 6.29722811] mV,2.48849516 mV,2.0,2.48849516438436
1.0,10,1.5,2.0,"[ 0.          0.04997223  0.09988897 ... 12.62247502 12.60845783
 12.59445621] mV",4.97699033 mV,2.0,4.97699032876872
1.0,1,1.5,3.0,"[   0.            3.33209907    6.66173083 ... 1339.72606149 1338.73403928
 1337.74275162] uV",0.33265136 mV,3.0,0.332651360369378
1.0,5,1.5,3.0,[0.         0.0166605  0.03330865 ... 6.69863031 6.6936702  6.68871376] mV,1.6632568 mV,3.0,1.6632568018466214
1.0,10,1.5,3.0,"[ 0.          0.03332099  0.06661731 ... 13.39726061 13.38734039
 13.37742752] mV",3.3265136 mV,3.0,3.326513603693243
1.0,1,1.5,4.0,"[   0.            2.49930568    4.99722325 ... 1379.16913011 1378.40313783
 1377.63757099] uV",249.76753125 uV,4.0,0.24976753124835618
1.0,5,1.5,4.0,[0.         0.01249653 0.02498612 ... 6.89584565 6.89201569 6.88818785] mV,1.24883766 mV,4.0,1.2488376562416132
1.0,10,1.5,4.0,"[ 0.          0.02499306  0.04997223 ... 13.7916913  13.78403138
 13.77637571] mV",2.49767531 mV,4.0,2.4976753124832265
1.0,1,1.5,5.0,"[   0.            1.99955562    3.99822275 ... 1402.98967334 1402.36626092
 1401.74312551] uV",200.24935228 uV,5.0,0.2002493522808284
1.0,5,1.5,5.0,[0.         0.00999778 0.01999111 ... 7.01494837 7.0118313  7.00871563] mV,1.00124676 mV,5.0,1.0012467614041236
1.0,10,1.5,5.0,"[ 0.          0.01999556  0.03998223 ... 14.02989673 14.02366261
 14.01743126] mV",2.00249352 mV,5.0,2.002493522808247
1.0,1,2.5,2.0,"[   0.            8.32870542   16.64816186 ... 2103.74583588 2101.40963863
 2099.07603572] uV",0.82949839 mV,2.0,0.8294983881281539
